"userid","activity.daily_routines","activity.emotional","activity.entertainment","activity.intellectual","activity.live_music","activity.music_listening","activity.on_the_move","activity.physical","activity.social"
895,4,5,5,4,5,5,5,4,5
896,3,5,4,3,4,4,4,5,3
897,1,1,1,1,1,1,1,1,1
898,4,4,4,4,4,5,5,3,5
899,5,5,5,5,5,5,5,5,5
901,3,3,3,3,3,3,3,3,3
902,5,4,5,5,4,5,5,5,4
903,5,5,5,5,5,5,5,5,5
904,3,3,3,4,3,5,5,4,5
905,2,4,3,1,5,5,2,4,5
906,4,2,3,2,5,5,3,3,3
907,4,4,4,5,5,5,5,3,3
909,5,5,4,4,4,5,3,5,4
910,3,3,4,5,3,5,4,3,3
911,3,2,3,1,5,5,5,4,3
913,4,4,5,5,5,5,5,4,5
915,3,4,3,2,5,5,3,3,4
916,4,3,4,2,2,4,2,3,3
917,3,4,3,4,4,3,4,3,2
918,3,1,5,3,4,4,4,3,2
919,3,3,4,4,4,4,3,3,3
920,3,4,5,4,3,5,4,5,5
922,2,3,4,3,2,3,3,2,3
923,4,4,4,4,4,4,4,5,4
924,4,4,4,5,2,5,5,4,4
925,5,3,4,4,5,5,5,4,3
926,4,3,2,2,3,4,4,3,4
927,1,3,3,1,3,3,5,4,3
928,4,3,2,3,3,3,4,3,4
929,4,2,4,1,3,3,4,5,2
934,4,2,3,2,5,5,1,4,4
935,4,3,4,1,5,5,5,5,3
936,2,2,2,1,3,3,2,3,2
937,4,3,2,1,4,4,4,3,4
939,4,2,3,3,1,1,4,3,2
941,4,4,4,4,4,4,4,4,4
944,5,4,4,5,4,5,4,4,5
946,4,4,4,5,4,4,3,3,5
948,3,3,4,4,3,4,3,4,4
949,2,4,1,3,3,4,5,4,1
950,3,2,3,2,4,5,3,4,4
951,3,3,5,5,4,4,5,3,3
956,2,4,5,4,4,5,5,5,4
957,4,4,4,3,5,4,4,4,4
959,2,3,1,4,1,4,2,3,2
962,4,4,3,1,3,4,4,4,2
